source,product,field,source_value,source_description,uid,uid_description,is_seed,valid_from,valid_until,is_active
OpenFigi,exchange,exchange_code,SV,,XLJU,mic,True,2023-01-01 00:00:00,,True
OpenFigi,exchange,exchange_code,LN,,XLON,mic,True,2023-01-01 00:00:00,,True
OpenFigi,exchange,exchange_code,LY,,XLSM,mic,True,2023-01-01 00:00:00,,True
OpenFigi,exchange,exchange_code,ZL,,XLUS,mic,True,2023-01-01 00:00:00,,True
OpenFigi,exchange,exchange_code,LX,,XLUX,mic,True,2023-01-01 00:00:00,,True
OpenFigi,exchange,exchange_code,SN,,XMAD,mic,True,2023-01-01 00:00:00,,True
OpenFigi,exchange,exchange_code,MS,,XMAE,mic,True,2023-01-01 00:00:00,,True
OpenFigi,exchange,exchange_code,MV,,XMAL,mic,True,2023-01-01 00:00:00,,True
OpenFigi,exchange,exchange_code,NC,,XMAN,mic,True,2023-01-01 00:00:00,,True
OpenFigi,exchange,exchange_code,MZ,,XBVM,mic,True,2023-01-01 00:00:00,,True
OpenFigi,exchange,exchange_code,MP,,XMAU,mic,True,2023-01-01 00:00:00,,True
OpenFigi,exchange,exchange_code,SQ,,XMCE,mic,True,2023-01-01 00:00:00,,True
OpenFigi,exchange,exchange_code,MM,,XMEX,mic,True,2023-01-01 00:00:00,,True
OpenFigi,exchange,exchange_code,UY,,XMNT,mic,True,2023-01-01 00:00:00,,True
OpenFigi,exchange,exchange_code,ME,,XMNX,mic,True,2023-01-01 00:00:00,,True
OpenFigi,exchange,exchange_code,MB,,XMOL,mic,True,2023-01-01 00:00:00,,True
OpenFigi,exchange,exchange_code,MW,,XMSW,mic,True,2023-01-01 00:00:00,,True
OpenFigi,exchange,exchange_code,GM,,XMUN,mic,True,2023-01-01 00:00:00,,True
OpenFigi,exchange,exchange_code,OM,,XMUS,mic,True,2023-01-01 00:00:00,,True
OpenFigi,exchange,exchange_code,KN,,XNAI,mic,True,2023-01-01 00:00:00,,True
OpenFigi,exchange,exchange_code,NW,,XNAM,mic,True,2023-01-01 00:00:00,,True
OpenFigi,exchange,exchange_code,UR,,XNCM,mic,True,2023-01-01 00:00:00,,True
OpenFigi,exchange,exchange_code,AO,,XNEC,mic,True,2023-01-01 00:00:00,,True
OpenFigi,exchange,exchange_code,NK,,XNEP,mic,True,2023-01-01 00:00:00,,True
OpenFigi,exchange,exchange_code,EX,,XNEW,mic,True,2023-01-01 00:00:00,,True
